12.35	60.6	44.3
12.4	61.15	44.65
12.45	61.7	45.0
12.5	62.25	45.35
12.55	62.8	45.75
12.6	63.35	46.15
12.65	63.9	46.55
12.7	64.45	46.95
12.75	65.0	47.35
12.8	65.55	47.75
12.85	66.1	48.15
12.9	66.65	48.55
12.95	67.2	48.95
13.0	67.75	49.35
13.05	68.3	49.75
13.1	68.85	50.15
13.15	69.4	50.55
13.2	69.95	50.95
13.25	70.5	51.35
13.3	71.05	51.75
13.35	71.6	52.15
13.4	72.15	52.55
13.45	72.7	52.95
13.5	73.25	53.4
13.55	73.8	53.85
13.6	74.35	54.3
13.65	74.9	54.75
13.7	75.45	55.2
13.75	76.0	55.65
13.8	76.55	56.1
13.85	77.1	56.55
13.9	77.65	57.0
13.95	78.2	57.45
14.0	78.75	57.9
14.05	79.3	58.35
14.1	79.85	58.8
14.15	80.4	59.25
14.2	80.95	59.7
14.25	81.5	60.15
14.3	82.05	60.6
14.35	82.6	61.05
14.4	83.15	61.5
14.45	83.7	61.95
14.5	84.25	62.4
14.55	84.8	62.85
14.6	85.35	63.3
14.65	85.9	63.75
14.7	86.45	64.2
14.75	87.0	64.65
14.8	87.55	65.1
14.85	88.1	65.55
14.9	88.65	66.0
14.95	89.2	66.45
15.0	89.75	66.9
15.05	90.3	67.35
15.1	90.85	67.8
15.15	91.4	68.25
15.2	91.95	68.7
15.25	92.5	69.2
15.3	93.05	69.7
15.35	93.6	70.2
15.4	94.15	70.7
15.45	94.7	71.2
15.5	95.25	71.7
15.55	95.8	72.2
15.6	96.35	72.7
15.65	96.9	73.2
15.7	97.45	73.7
15.75	98.0	74.2
15.8	98.55	74.7
15.85	99.1	75.2
15.9	99.65	75.7
15.95	100.2	76.2
16.0	100.75	76.7
16.05	101.3	77.2
16.1	101.85	77.7
16.15	102.4	78.2
16.2	102.95	78.7
16.25	103.5	79.2
16.3	104.05	79.7
16.35	104.65	80.2
16.4	105.25	80.7
16.45	105.85	81.2
16.5	106.45	81.7
16.55	107.1	82.2
16.6	107.75	82.7
16.65	108.4	83.2
16.7	109.05	83.7
16.75	109.7	84.2
16.8	110.35	84.7
16.85	111.0	85.2
16.9	111.65	85.7
16.95	112.3	86.2
17.0	112.95	86.7
17.05	113.6	87.2
17.1	114.25	87.7
17.15	114.9	88.2
17.2	115.55	88.75
17.25	116.2	89.3
17.3	116.85	89.85
17.35	117.5	90.4
17.4	118.15	90.95
17.45	118.8	91.5
17.5	119.45	92.05
17.55	120.1	92.6
17.6	120.75	93.15
17.65	121.4	93.7
17.7	122.05	94.25
17.75	122.7	94.8
17.8	123.35	95.35
17.85	124.0	95.9
17.9	124.65	96.45
17.95	125.3	97.0
18.0	125.95	97.55
18.05	126.6	98.15
18.1	127.3	98.75
18.15	128.0	99.35
18.2	128.7	99.95
18.25	129.4	100.55
18.3	130.1	101.15
18.35	130.8	101.75
18.4	131.5	102.35
18.45	132.2	102.95
18.5	132.9	103.55
18.55	133.6	104.2
18.6	134.3	104.9
18.65	135.0	105.6
18.7	135.7	106.3
18.75	136.4	107.0
18.8	137.1	107.7
18.85	137.8	108.45
18.9	138.5	109.2
18.95	139.2	109.95
19.0	139.9	110.7
19.05	140.6	111.45
19.1	141.3	112.2
19.15	142.0	112.95
19.2	142.7	113.7
19.25	143.4	114.45
19.3	144.1	115.2
19.35	144.8	115.95
19.4	145.5	116.7
19.45	146.2	117.45
19.5	146.9	118.2
19.55	147.6	119.0
19.6	148.3	119.8
19.65	149.0	120.65
19.7	149.7	121.5
19.75	150.4	122.35
19.8	151.1	123.2
19.85	151.8	124.05
19.9	152.55	124.9
19.95	153.3	125.75
20.0	154.05	126.6
20.05	154.8	127.45
20.1	155.55	128.3
20.15	156.3	129.15
20.2	157.05	130.0
20.25	157.8	130.85
20.3	158.55	131.7
20.35	159.3	132.55
20.4	160.05	133.4
20.45	160.8	134.25
20.5	161.55	135.1
20.55	162.3	135.95
20.6	163.05	136.8
20.65	163.8	137.65
20.7	164.55	138.5
20.75	165.3	139.35
20.8	166.05	140.2
20.85	166.8	141.05
20.9	167.55	141.9
20.95	168.3	142.75
21.0	169.05	143.6
21.05	169.8	144.45
21.1	170.55	145.3
21.15	171.3	146.15
21.2	172.05	147.05
21.25	172.8	147.95
21.3	173.55	148.85
21.35	174.3	149.75
21.4	175.05	150.65
21.45	175.8	151.6
21.5	176.55	152.6
21.55	177.3	153.6
21.6	178.05	154.6
21.65	178.8	155.6
21.7	179.55	156.6
21.75	180.3	157.6
21.8	181.05	158.6
21.85	181.85	159.6
21.9	182.7	160.6
21.95	183.55	161.6
22.0	184.4	162.6
22.05	185.25	163.6
22.1	186.1	164.6
22.15	187.0	165.6
22.2	187.9	166.6
22.25	188.8	167.6
22.3	189.7	168.6
22.35	190.6	169.6
22.4	191.5	170.6
22.45	192.4	171.6
22.5	193.3	172.6
22.55	194.2	173.6
22.6	195.1	174.6
